1:		Team Unlimited
3499:	Da 'Bots
3501:	Jaegers
3502:	The Killer Whales
3505:	Cadet Bot Crew
3507:	RoboTheosis
3511:	Pink Duct Tape
3513:	Domo Arigato
3523:	Bot Bosses
3525:	BanksBots, The Farewell Tour
3526:	M-BOTs
3527:	L.E.A.P.  F.R.O.G.S.
3537:	The MechaHampsters
3539:	Say Watt?
3540:	RoboBoogie
3543:	Titan Robotics
3547:	Pixel Warriors
3548:	Team Trial and Error
3549:	Born to Be Wired
3550:	Beta
3558:	Fire Breathing Yetis
3565:	Ghost Robotics 1
3567:	Fear The Gear
3568:	ICE Wolves
3577:	Bounty
3578:	Warriors
3582:	MASS Madness
3583:	Ms. Power Hawks
3584:	CCA Brobotics
3587:	Unparalleled Processing
3589:	Task Force
3591:	QUARKs
3592:	MESONs
3594:	Robo Hawks
3595:	Schrödinger's Hat
3597:	Knights
3600:	ElectroJackets
3608:	Robocto Pi
3609:	Polar Technics
3615:	Blue Screen
3620:	Furious George
3621:	Semper Fi
3626:	Tech Dogs
3627:	Rogue Robots
3633:	Bazinga Bot
3634:	KISS
3635:	Cougars Gone Wired
3638:	Atomic Shock II
3640:	Metal Militia
3641:	PPS Robotics
3648:	Beehive Robotics
3650:	Torrey Techies
3654:	Gipsy Avengers
3658:	BOSONs
3664:	Girls With Attitude
3665:	Leopold GearHeads
3666:	Hawks
3668:	Smokie Jr.
3670:	Metal Mustangs
3677:	Prometheus
3679:	Odyssey
3694:	Brattle Battle Bots
3695:	Robo Pirates
3697:	Mark III
3699:	Ridgineering Robotics
3708:	Iron Eagles Optimus
3712:	Purple F.E.A.R. (Fierce Eagle Advanced Robotics)
3715:	Hawks
3719:	Bionic Raiders
3722:	Monkeys of meyhem
3724:	Bull Dogs
3727:	Hot Stuff
3731:	Bot Jox
3733:	Golden Hawks
3734:	Imperial Robotics
3735:	Apex Robotics
3736:	Serious Business
3737:	Hank's Tanks
3738:	3738Robotics
3740:	RoboRams
3744:	LREI Robotics
3746:	NECO Robo Knights
3749:	WaWIFATuM
3750:	Error: 404
3755:	Yanza Fuo 
3758:	Aztec Eagles
3763:	Piece of Cake
3764:	Extendomatics
3766:	Thunderbolts
3774:	Hive Voltage
3781:	Westlake Pi-Rho Maniacs
3784:	Red Neck Robotics
3785:	Beastie Bots
3788:	Benton Bobcats
3791:	Ziptiez
3792:	SunChasers
3795:	JagWired
3796:	Talons
3802:	Long Shots
3803:	Lakeside Knights
3804:	Team Snuffleupagus
3805:	Atomic Robotics
3819:	Green RoboDragon
3820:	Gold RoboDragon
3825:	Awesomebots
3826:	Crimson Omega
3827:	B2 
3830:	SkyNet
3831:	Golden Eagles
3836:	Evan
3838:	Thor
3839:	NeXT
3841:	STARbot
3846:	Maelstrom
3847:	Team ASCII
3848:	Shockwave
3854:	Panther's Rage
3860:	The Revolution
3861:	Vashon Pi-r8s "Pirates"
3863:	Sumner Robotics Club
3864:	Global Force
3866:	Blood, Sweat and Gears
3873:	Scotbotics
3886:	Quake
3888:	Greased Lightning
3896:	Techneetics
3899:	Humuhumunukunukuapua'a
3900:	MechaSharks
3901:	Davies
3903:	Trash Torque
3908:	Robotigers Omega
3909:	Techno Titans
3916:	/* Apex Androids */
3921:	ProBotics
3922:	Modibot
3923:	The Atomix
3925:	Cyberpirates
3928:	AstroNuts
3931:	RoboCopz
3938:	Acton Robotics Team
3939:	Robo GT
3940:	Room Temperature
3944:	Team Mercury
3947:	Fired Up!
3963:	Backstreet Bots
3965:	Twisted Metal
3971:	Rhode Kill
3972:	Falcon Engineering and Robots
3976:	Fighting Hornets
3980:	Cyber Hawks
3981:	Gold Griffins
3983:	Highlands Undefined (Divide by 0) 
4000:	C.O.R.E. Fusion
4002:	Blackout
4008:	Brandeis Bronc Botz - Orange
4009:	Cyberwolves- 4009
4017:	roboPandas
4019:	RoboHawks
4027:	Blood, Sweat and Gears
4029:	2 Bits and a Byte
4041:	ClockWorks
4042:	Garfield
4046:	Thunder Tech
4049:	Masai Lions
4053:	The  Flaming Bunnies 
4054:	Exploding Radioactive Gearheads
4055:	Warriors
4056:	Foss High School
4060:	Wilson High School 4
4064:	Rez Robotics
4070:	Live Wires
4076:	RoBUGs
4077:	MASH
4081:	The Droids
4082:	RoboSpartans
4083:	Cyber Lions
4084:	Brooke Point Robotics
4086:	ORC
4087:	Bearded Beauties
4089:	LCA Eagles - Alpha
4090:	LCA Eagles - Bravo
4092:	Nanites
4093:	Gears
4096:	T-10   ("T minus Ten")
4097:	PacBots
4100:	Darbots 1
4102:	CHS Cougars
4104:	Robo Lobo
4105:	Teal Tornadoes
4106:	Supposable Thumbs
4107:	Mohon Bots
4108:	Get with the Program
4112:	Warriors
4115:	Men in Kilts
4116:	Scrapyard Scots
4117:	R@M
4119:	Brain Nuggets
4121:	Jacks
4124:	Minions
4125:	Jaegar Squad
4126:	One More
4127:	BSOD
4128:	Ultraviolet 
4130:	2006 - Robotica Santi
4131:	Mighty Men of Machines
4133:	Fusion
4134:	Wrench in the Works
4135:	Red Alliance
4137:	IslandBots
4138:	K-HiTech
4140:	Fish in the Boat
4141:	Spears & Gears
4143:	JV Cuts
4144:	Engineer Imagineer
4145:	The Airheads
4149:	Terabytes
4150:	Dark Matter
4152:	B.R.A.T.S.
4153:	RED
4155:	Centurion Rougher
4156:	RoboCats
4157:	Fire Breathing Rubber Duckies
4160:	Rough Velcro
4162:	QBH
4163:	Robo Warriors
4164:	Muqtak Mafia
4165:	Titanium Braves
4166:	Iron Braves
4170:	TechnoCrusaders
4173:	Bionic Bulldogs
4174:	Atomic Theory
4175:	The Toxic Avengers
4176:	The Architechs
4177:	Highland Robotics
4183:	ICEBREAKERS
4185:	Silver Soldiers
4192:	West County Robotics
4193:	Those Guys
4194:	Technomancers
4200:	The X-Squared Factor
4210:	SuperNova
4211:	The Bombers
4213:	Cyborgeois
4215:	Hypnotic Robotics
4216:	Rise of Hephaestus
4217:	Autobotics
4218:	LabView Knights
4220:	Landroids
4221:	Do You Even Lift?
4224:	Y Not Robots
4227:	Error 404
4232:	Global Dynamics B
4234:	TechBrick FTC 4234
4235:	Potential Energy
4237:	Hordes of Nords
4238:	Robo Chicken Gator Flys of Papayaland
4240:	4-H Techno Clovers
4243:	Vidrini-II
4244:	Vidrini-I
4248:	The Onions
4250:	LIGHTSABERS
4251:	Cougar Robotics Team
4258:	Bomb Squad
4260:	Spanish Inquisition
4262:	Firebirds
4266:	Red Dirt Robotics
4267:	RoboChix
4270:	Knights who say Ni
4272:	Mechametrozilla
4273:	Aluminati
4275:	Kes
4276:	Mooch
4277:	OXYMORONS
4278:	De.Evolution
4281:	The MOs
4283:	CMHS Raiders
4284:	Mustangs
4286:	Dragonoids
4287:	Red Meteors
4289:	Steel Lightning
4290:	Purple Haze
4291:	STEMBots
4296:	Iridium Falcons
4298:	The Professionals
4299:	The Battery Powered Picklejar Heads
4301:	Tigers
4306:	Team Bender
4307:	Team H.A.L.
4309:	TWOCA
4311:	Watt The Hex?
4314:	4314th Aero Squadron
4318:	Green Machine
4319:	Halestorm
4322:	Phi Omega
4323:	iCATZ
4324:	Super Ninjas
4326:	Basement Lions
4327:	Silver Titans
4328:	C'est la vie
4329:	Oelwein Huskies
4333:	Elite Machinez
4335:	Tigers
4337:	DeVry Daemons
4339:	Powercats
4344:	Rickrollers
4345:	ART
4347:	Nanogurus
4348:	RoboKnights
4356:	Gears
4358:	Team Griffin
4359:	Winged Warriors
4360:	BLHS REACH
4362:	Fox-y Botsters
4366:	Crimson Quirks 
4369:	Auto-ma-trons
4371:	Benton Robotics
4373:	Firebots
4377:	SCRAPPERS
4378:	Organized Chaos
4379:	GHS2
4380:	GHS1
4386:	Nova Knights
4389:	RoboBucs
4390:	The Typhoons - Storm Robotics Team
4396:	Decepticons
4399:	Autobots
4405:	Az-Tech Robotics
4408:	Robots in Plaid
4410:	Awesomesauce
4411:	Colbert Gears of Radiation
4412:	Meta Superiority
4414:	Team Overdrive
4416:	Stallions
4417:	The Venom
4419:	Bishopbots
4420:	Trobots
4421:	Bionic Badgers
4422:	Red HoloRAMS
4426:	River Kings Robotics
4431:	Math Robotics
4432:	FCS Robotics
4433:	Smokin' Motors
4434:	Heat Misers!
4442:	XBOTS
4443:	Sock Monkeys
4444:	RoboCats
4448:	BGIP
4450:	Wing It!
4451:	Hephaestus
4452:	Wolverines
4454:	HSAdvancement
4455:	MoHawk Warriors
4466:	Robots and Brain Bots Inc.
4469:	Hydra B
4473:	Team Bluescreens
4475:	Purple Reign
4476:	Robo Demons
4479:	Mecha-Eagles
4480:	Blue Dwarves
4486:	Mad Science
4487:	Highlandbots
4490:	Skybots
4491:	Reach
4492:	Connect-I-Cons
4494:	WolverBots
4498:	Robo Warriors 4498
4507:	Robo Chargers
4508:	E=mc^Squirreled
4510:	Techno Jackets
4511:	Falcons
4512:	West Torrance Robotics
4530:	Infinite Resistance
4531:	Looney Tuned Robotics
4535:	RedNek Robotics Too
4537:	DRSS Enterprise
4539:	Sourdoughs
4540:	Iron Panda
4542:	The Nerd Herd
4543:	Chain Gang
4545:	ViperBots Slytherin
4546:	ViperBots SnakeByte
4548:	Ruf-Nex Robotics
4549:	Motor Lutherans
4550:	Metal Madness
4554:	Robo Mustangs
4557:	Mass Havoc 
4560:	NERV
4565:	Radical Tech
4567:	Grafton
4578:	Bakabots
4585:	CIJE1
4587:	Red Hot Techie Peppers
4592:	Nuts and Bolts
4594:	Team Team
4600:	Black Knights
4601:	Black Knights
4602:	Brandeis Bronc Botz - Blue
4605:	RoboHackerz
4606:	Tesla's Titans
4607:	A Splash of Magic
4608:	BoyWonder
4609:	Zoidbot
4610:	Control Freaks
4611:	HydraBot
4621:	Patriots 
4625:	Kings and Queens
4626:	Autobots
4628:	Suit Bots
4630:	FeMales
4631:	Dodgen Robotics
4633:	Harold and the Pussy Cats
4634:	FROGBOTS
4638:	Twisted Metal
4640:	Banana Dogs
4641:	RoboSharks
4644:	Robotic Adrenaline
4650:	Crusader Robotics: The Agency
4654:	Jellyfish 
4662:	Bulldog Robotics
4664:	NOSIDE
4665:	NOSIDE
4666:	Loco-Motives
4668:	I Can't Pronounce That
4669:	Wait... What?
4683:	Gatorzillas
4688:	Reagan Robotic Rattlers
4691:	Team Quinones
4692:	Team Alvarado
4694:	Disco Ninjas
4698:	VOKS BOTS
4701:	Brackenbots
4702:	Dragons
4704:	SST Stallions
4707:	Panthers
4708:	Cyberwolves - 4710
4709:	Cyberwolves - 4709
4710:	Cyberwolves - 4708
4717:	RAH
4718:	Toltechs Archimedes
4719:	Toltechs Galileo
4720:	Toltechs Newton
4721:	Toltechs Einstein
4732:	Fresh
4733:	RoboTech
4736:	Hyperactive Dynamite
4745:	Orozco's Army
4747:	Scotbots
4749:	Lego Bros.
4750:	The Untouchables
4751:	Steel Scorpions 
4752:	Dino Bots
4753:	Block Life 
4754:	Brainiac Maniacs
4760:	MRBOT
4761:	Rogue Robotics
4768:	to be determined
4769:	deadringer
4774:	Jesuits
4775:	Nerds
4780:	Terraroids
4781:	MechaKnights
4782:	The Super Trouble Makers
4783:	Dynamic
4784:	Tetricons
4785:	Anonymous Autonomous
4787:	HP RAMs
4790:	Area 52 Robotics
4792:	RoboDogs
4798:	Robuffs "A" TEAM
4800:	RoboCats
4809:	Botman
4811:	Toltechs Copernicus
4812:	Florence Buffaloes - Team One
4819:	Mechanical Anomaly 
4821:	RoboBots
4822:	RoboStars
4823:	Justice Avengers
4842:	Alpha Wolves
4845:	The Grinders
4847:	CHROME
4848:	The Gadget
4849:	The Elitez
4850:	Robo Panthers
4855:	Batteries In Black
4856:	Minnie MASH
4858:	Cyber Hornets
4859:	The Outlaws
4863:	RoboTAG
4866:	Panthers
4873:	Tiger Tech
4874:	Pokéblocks
4884:	TPT2 
4885:	GearHeads
4886:	Robo Junkies
4887:	Owlbotics 1
4888:	Cougar Robotics
4890:	Hive Voltage 2.0
4891:	Eagles
4893:	Charger Robotics
4897:	Bodacious Bulldawgs
4899:	Vitruvian Can
4902:	Team CHAOS
4906:	Midland High Junkyard Dawgs
4910:	Eagle1
4914:	Vulcan Robotics
4916:	Techtris
4921:	Robocrafters!
4922:	WHS Robotics Collaboration
4924:	Tuxedo Pandas
4929:	STARBUCKS
4930:	BUCKBOTS
4932:	Team Minecraft
4933:	Short Circuits Too
4934:	Pandamonium
4936:	Sparks
4943:	Rockets
4945:	Teton Gravity Robotics
4946:	Robo Raiders
4947:	Cougarobotics
4949:	Warriors
4950:	Tino 49ers
4951:	Wurst Lynx
4953:	HUE
4960:	Tiger-Bots
4963:	Nova
4964:	Rolla Patriots
4965:	Animatores Romani
4967:	RoboMagic
4968:	Demon Robotics
4969:	Robot-X
4970:	The Loose Screws
4977:	LANLords
4978:	Raider Robotics
4979:	Cougars
4982:	Cafe Bot
4983:	Falcons A-Team
4990:	PantherBots
4991:	Gear Freaks
4992:	FALCONS
4993:	Operation Rolling Thunder
4995:	Titanium Tigers
4997:	Masquerade
4998:	Q
4999:	Imagine It
5002:	Steel Wolves 2.0
5007:	Lady Raider Robotics
5010:	Dragons
5011:	Bot Squad
5014:	RobotiXX
5015:	Buffalo Wings
5016:	Carnivorous Energy
5017:	RoboEpic
5020:	KilaBots
5023:	Bulldogs
5024:	Tesla Tazers
5025:	Tesla Fliers
5026:	Tesla Coils
5027:	Plan B
5029:	PowerStackers
5030:	Lady Bots
5033:	S and L Robotics
5035:	WIRED
5036:	Absent Minded Geniuses
5037:	got robot?
5039:	DevilBots
5040:	Loveland Nuts & Bolts
5044:	Lgit
5045:	Tachyons
5050:	Pelham Robotics Team
5053:	Clearwater Atomic Robotic Technicians #2
5057:	VOID
5058:	Blocktimus Prime
5060:	Milton Static
5061:	Capital Gear Grinders
5062:	Middle School Team
5063:	TNT
5064:	Aperture Science
5065:	TBD
5067:	Quantum Barracudas
5069:	Robogamers
5070:	N.U.T.S.
5072:	Wildcats
5073:	none
5075:	Basement Dwellers
5076:	CyberA
5080:	Three Stooges
5084:	B.E.T.
5085:	Newton's Lawyers
5086:	Turtles
5088:	Robo-Eagles
5089:	Ircinraat
5094:	Still Under Development
5095:	LEPTONs
5096:	Monkey Madness
5097:	RoboWild
5100:	DarBots 2
5102:	NWA Robotics
5105:	Conquistadors
5108:	Amish Electricans
5113:	Alternative Cooperative Engineering
5114:	The Knights Who Say C
5115:	Robo Wizards
5116:	Pawbotics
5118:	HADRONs
5119:	BARYONs
5120:	Latrodectus Mactans
5125:	Raiderbots
5126:	InDEnProCom 
5131:	Pointers
5132:	AHERT Ravens
5135:	Team Uncopyrightable
5136:	Crusader Creators
5140:	WACO Aerobotics
5141:	Warrior Bots
5142:	Hawkbots
5143:	Xpendables
5149:	Robota
5150:	Raiders
5151:	Infinity
5153:	Bobcat 1
5154:	Da Footur
5155:	Architects of Freedom
5156:	The Raminators
5157:	The Metal That Moves TM
5158:	T.I.T.A.N.S.
5161:	Eaglemaniacs
5163:	Flying Dragon
5166:	WD41's
5168:	B3
5169:	Watts Up?
5170:	G.E.A.R.S
5171:	Spacemen Riding Dinosaurs
5173:	DSA Raptors
5174:	River king Robotics
5175:	Vector Robotics
5177:	Global Dynamics A
5178:	Mech Hawks
5179:	Cyberstorm
5180:	RoboHornets
5185:	Topsy Turvy
5186:	PantherBots Alpha
5187:	Transistor Titans
5190:	MICDS Rams
5192:	Robo-Hooters
5194:	LHS Robotics
5195:	HIES Night's Watch
5196:	Team Yeti
5197:	GearHeads
5198:	Adamantium
5199:	Blockheads
5200:	Robots Incorporated
5202:	Try to Understand
5205:	SyBorgs
5206:	The Knights of Ni
5209:	Operation: BisonBot
5211:	Judge Oven
5212:	Megahertz!
5214:	Tech Support
5215:	THAT Team
5220:	nimish@nimishshah.com
5221:	Chonkanator
5224:	Deus Ex Machina
5225:	Tetrixterone
5230:	Millionaire Mind Kids
5232:	HAL9000
5233:	Chapelgate Christian Academy
5234:	Tiger Steel
5235:	The Millennium Falcons
5236:	EuroBots
5237:	Loose Screws
5238:	Bob's Builders in Black
5241:	Hot Wired
5247:	Sirens
5248:	FERMIONs
5249:	Cooper's Doghouse
5250:	Loading...
5251:	Übercharged
5252:	Insert Name Here
5253:	Decepticons
5256:	Spare Parts
5257:	Eagles Robotics XPerience
5258:	Tornadoes
5260:	Lego Legends
5264:	ILITE Up the Night
5266:	Black Hawks
5267:	Channel 4 News Team
5270:	Q
5271:	CTRL ALT DELETE
5273:	Pixelated Tesseracts
5275:	Minor Malf(x)
5276:	Broken Code
5279:	Positrons
5280:	404 Name Not Found
5281:	The E-Team Innovators!
5283:	LAIMO
5284:	The Kerbals
5285:	Robo Knights
5286:	Motor Monkeys
5289:	Martians
5290:	Steel Eagles
5291:	TOWR The Oxford Wildcats Robotics
5292:	Redstorm Robotics
5293:	Chapelgate Christian Academy
5294:	What the heck is Pi
5298:	The Engineering High Council
5300:	N.E.R.D. Nation
5304:	Jaguars
5308:	Armored Division 
5309:	Plan B
5312:	Error 404
5314:	Blue Nova
5318:	Primates of Purgatory
5319:	Wolverines
5320:	RoboLancers Gold
5321:	TechHeroes
5323:	Technobots
5324:	Black Knight Robotics
5325:	The Muses
5328:	Sentinel Prime Bots
5330:	Robotic Rush
5332:	Cougar Current
5333:	Terminal Velocity 
5334:	Team RGB
5337:	Robo Huskies
5338:	Sonic Boom
5339:	W.A.L.K.E.R.S.
5340:	Binary Addiction
5341:	Atomic Toads
5343:	JACKs Pack
5345:	STEMtastic
5347:	A Team
5348:	Terror Botics
5349:	Robo Wolves
5350:	Students in Black
5353:	Pink Fruffy Unicorns
5354:	ORC II
5356:	Tardis
5357:	CCRT
5361:	Lionotics
5362:	HEAFINATORS
5363:	YULA
5376:	Tech Krew
5378:	Team Aperture
5380:	Tesla's Angels
5381:	VIKO-PSYCHO
5383:	CRR Breaking the Laws of Physics
5384:	Luck will not do it alone 
5385:	Riddlers
5386:	Fabricators I
5387:	TecHounds
5389:	Wired Wolves
5390:	Vikings
5391:	Puzzlers
5392:	CHEC-3P0
5394:	High Voltage
5395:	Stang Gang
5396:	Iron Panda
5397:	The Bot Side
5398:	Robotux
5399:	Quicksilver
5401:	Warriors
5402:	Controlled Chaos
5404:	Titanium Titans
5405:	Ready, Set, Bot!
5406:	Optimus Bee
5408:	Techno Wave
5411:	G3 Geeks, Gears, and Gadgets 
5412:	Huskies
5414:	Techie Tornados
5417:	BotWerx
5420:	LAAE
5421:	RM-ed and Dangerous
5422:	Horse Power
5423:	CyberB
5427:	Flolopping Dragons
5429:	Team CLUTCH
5431:	Flagship Robotix
5433:	RoboHornets
5436:	Aluminum Cobblers
5437:	Pioneerbots
5439:	GLUONs
5442:	Half LIFE TERRA
5443:	Synergy
5444:	Tangents
5445:	Trohawks
5446:	Imperial Robotics
5447:	Metal Stingers
5449:	Inner Drive
5451:	Da Big Meks
5452:	Robot to the Knee
5453:	EVERYBODYRUNHERETHEYCOME
5454:	dent in the universe
5457:	Pyromania
5459:	Syntax Error
5460:	Revolutionary Robotics
5461:	Cyber Robo Manors
5464:	The Chrome Hounds
5466:	Combustible Lemons
5468:	Finding Blue Moose 
5470:	Montwood Rambotics
5472:	Particle Smash
5474:	FIRST LAN Jaguars
5477:	Innovo
5480:	Robophins
5481:	The Crusaders
5484:	EnderBot
5485:	PRO
5486:	The Pluralists
5488:	Robo Dragons
5494:	Oscar
5495:	Iron Eagles
5496:	Cougarbots
5497:	Chaos Order
5498:	Unibots
5499:	Paladin Robotics 
5501:	USS Enterprise 
5504:	n/a
5505:	n/a
5506:	n/a
5507:	n/a
5508:	Roxbots
5510:	n/a
5514:	Parkway
5515:	Warriors
5518:	Radians of the Arc Tangent
5519:	Neutrinobotics
5520:	Radical PiRates
5521:	The Dutchman's Derivatives
5526:	Quasics
5527:	Technical Grunts
5529:	WolfTrack
5530:	ROBoT
5532:	Wolfbots
5539:	FAME IT UP! 
5540:	Skynet
5541:	Enthalpy 
5544:	Transformers
5547:	Owlbotics 2
5553:	RoboComets
5555:	Option 16
5559:	RoboHawks
5560:	The Crusaders 2
5561:	Nerd Heroes
5562:	B.R.A.T.S.
5564:	SciTech
5565:	The Doctors
5566:	Demons
5570:	STEM Cyborgs
5571:	Premium 'Grade
5572:	Team Silver
5573:	RoboCougars
5576:	Skynet
5582:	SciTech
5586:	Push Mowers 
5596:	That One Team
5598:	The PIT Crew
5599:	E.R.R.O.R.
5600:	Metal Heads
5601:	Shadetree Mechanics
5602:	Bionic Gaels
5604:	Thunderbots
5606:	Cavaliers
5607:	Crimson Rose
5611:	Robo Bears
5614:	Team Immortalis
5616:	Robo T's
5618:	Control Freaks
5619:	Tesseract
5624:	Droids
5627:	Robotics Quasar Alliance
5628:	The Tau Manifesto
5629:	RoboPirates
5637:	Tech-Wise Guys
5640:	Mechanical Uprising
5641:	Devil bots red team
5642:	Tupper Lake Central School
5644:	Bedford Bots
5645:	Las Aguilas
5646:	FERGUS ONE
5647:	Queenotics II
5648:	TekTwisters 2.0
5649:	Liberty Falcons - MESA Girls
5650:	Viking II
5651:	Viking III
5653:	TOLTECH DA VINCI
5654:	TOLTECH EDISON
5655:	TOLTECH ARMSTRONG
5656:	TOLTECH FORD
5657:	TOLTECH TESLA
5658:	Spartans
5661:	SHPE Wolves
5663:	Endothermics
5664:	Cyber Wolves
5666:	Dutch 200
5667:	Robo Miners
5669:	TigerBots
5670:	Dragons
5677:	AEC S.W.AT
5678:	Cardinal
5681:	Robo Pirates
5683:	Panthers
5686:	Cog-nation
5687:	Senators
5688:	The Whovians
5693:	The Fellowship
5694:	Metal Wolves
5695:	Robo Wolves
5696:	Bionic Wolves
5700:	Knights
5703:	Doppler Effect
